Dep,Prov,Sec,NomDep,NomProv,NombreMunicipio,IdLoc,AsientoElectoral,Reci,NombreRecinto,Dist,NomDist,Zona,NomZona,Direccion,MaxMesasReci,NroCircun,TipoCircun,NomCircun,latitud,longitud,idTipoRecinto,TipoRecinto,idUrbanoRural,descUrbanoRural
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,10,DISTRITO 10,31,127,Doble Vía santa Cruz La Guardia entre Bajio y La Selva,24,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.82803,-63.22689,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6,Col. Polifuncional Calama,10,DISTRITO 10,29,125,Barrio Calama - C/ Juancito Pinto y C/ Eduardo Abaroa,18,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.837183,-63.218863,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,8,Col. Mateo Kuljis Secundario,10,DISTRITO 10,40,137,Barrio Campo Rosas Av. 24 de septiembre,18,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.836659,-63.227643,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,9,Col. Esc. Tierras Nuevas El Carmen,10,DISTRITO 10,39,135,Barrio Tierras Nuevas Av. Moscú y C/ Los Gomeros,22,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.845092,-63.21467,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10,Col. Oscar Arnulfo,10,DISTRITO 10,41,138,Barrio Telchi - Av. Yotau y Calle 5 Urupe,12,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.82932,-63.23433,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,19,Colegio Marcelino Champagnat,9,DISTRITO 9,33,129,Urb Chiriguano,12,50,Uninominal,Quincuagésima-Santa Cruz,-17.85419,-63.18896,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,22,Col. Part. Alfred B. Nobel,9,DISTRITO 9,33,129,Urbanizacion El Patuju C/ Flor de Canela entre C/ Santa Isabel y R. Carmin,10,50,Uninominal,Quincuagésima-Santa Cruz,-17.85304,-63.19432,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,26,Colegio Adela Zamudio,9,DISTRITO 9,16,114,B/Cordecruz Sur C/ San Antonio entre C/2 y  C/1,24,50,Uninominal,Quincuagésima-Santa Cruz,-17.8329,-63.17396,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1000,Col. La Madre,1,DISTRITO 1,173,55,C/ Sn nombre y c/ Casiano Vaca Pereira - Lado parque las Flores,15,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.781252,-63.209141,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,11,DISTRITO 11,34,13,Av. Centenario C/Mexico,12,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.778606,-63.191492,11,"Universidad, Normal",20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1002,Esc. Rene Barrientos,1,DISTRITO 1,149,33, C/6  Oeste entre Av. Busch y C/ Nicolás Ortiz,17,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.770858,-63.198056,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1003,Modulo Educativo Jose Miguel De Velasco,1,DISTRITO 1,178,61,Barrio Avaroa Av. Ovidio Barbery,14,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.75368,-63.18459,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1004,Col. Mirette Sciaroni,1,DISTRITO 1,152,35,Calle Mujila entre C/Aquiles Gomez y R. Antelo,9,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.761968,-63.189031,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1005,Col. Gabriel Rene Moreno,11,DISTRITO 11,215,CI,C/Sta Barbara #51 Frente al Rest. Cortijo,7,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.78357,-63.18595,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1006,Col. San Martin De Porres,1,DISTRITO 1,145,32,Av. Centenario 3er Anillo Interno,34,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.77761,-63.2021,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),1,DISTRITO 1,141,31,C/ Tucavaca esq. Av/Roca Coronado ,14,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.78474,-63.20106,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1008,Esc. Normal Enriquet  Finot,1,DISTRITO 1,221,ET 21,Av. San Martin  3er Anillo Interno,20,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.76357,-63.19629,11,"Universidad, Normal",20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,11,DISTRITO 11,34,13,Av. Cañoto No 20 Esq. c/Haiti,30,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.77663,-63.18775,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1010,Gladys Rivero De Jimenez,1,DISTRITO 1,174,56,Calle  N° 5 y c/ Ismael Cerrate,13,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.77348,-63.20806,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1011,Kinder Luisa Saucedo,11,DISTRITO 11,215,CI,C/Libertad Diagonal Radio Amboro N/471,4,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.77909,-63.18323,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1012,Escuela San Carlos,1,DISTRITO 1,179,62,C/ Mateo de Vargas y Radial 27 3 Cuadra al Zoologico,18,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.7572,-63.18186,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1014,Esc. Bernardo Cadario(Col.Kurt Richter),1,DISTRITO 1,176,59,C/ Ponciano Rojas y Pablo Bush,8,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.757516,-63.194446,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),1,DISTRITO 1,153,36,Gral Franco esq. Castulo Chavez,8,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.766085,-63.18357,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1016,U.E. Walter Suarez,11,DISTRITO 11,23,12,Pasillo Nordeskiol  entre Alameda Junin y Landivar,5,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.78442,-63.19444,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2000,Col. Esc. Manuel Ignacio Salvatierra,11,DISTRITO 11,216,CII,C/Sucre Esq. Aroma,12,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.783337,-63.178445,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2001,Col. Seccional Monseñor Santiestevan,11,DISTRITO 11,216,CII,C/Caballero Esq. Beni,14,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.779588,-63.181172,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2003,Col. Gaston Guillaux,11,DISTRITO 11,138,3,C/Charcas  # 100 entre c/Chiquitos y c/P.Pacheco,19,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.778769,-63.170991,7,Unidad Educativa,20,Urbano
